metric,group,value
cleaned_rows,all,20625
dropped_intro,all,51
dropped_summary,all,370
merged_broken_pairs,all,1702
merged_heading_pairs,all,5563
split_bullet_groups,all,526
split_bullet_items,all,3339
cleaned_rows_by_company,AAR Corp.,510
cleaned_rows_by_company,ATI Inc.,368
cleaned_rows_by_company,"AeroVironment, Inc.",1420
cleaned_rows_by_company,"BWX Technologies, Inc.",773
cleaned_rows_by_company,Booz Allen Hamilton Holding Corporation,1635
cleaned_rows_by_company,CACI International Inc,499
cleaned_rows_by_company,Carpenter Technology Corporation,289
cleaned_rows_by_company,Curtiss-Wright Corporation,470
cleaned_rows_by_company,Ducommun Incorporated,717
cleaned_rows_by_company,General Dynamics Corporation,185
cleaned_rows_by_company,HEICO Corporation,458
cleaned_rows_by_company,Hexcel Corporation,109
cleaned_rows_by_company,Howmet Aerospace Inc.,530
cleaned_rows_by_company,"Huntington Ingalls Industries, Inc.",764
cleaned_rows_by_company,Iridium Communications Inc.,950
cleaned_rows_by_company,"KBR, Inc.",829
cleaned_rows_by_company,"Kratos Defense & Security Solutions, Inc.",1552
cleaned_rows_by_company,"L3Harris Technologies, Inc.",653
cleaned_rows_by_company,"Leidos Holdings, Inc.",702
cleaned_rows_by_company,Lockheed Martin Corporation,575
cleaned_rows_by_company,Moog Inc.,235
cleaned_rows_by_company,Northrop Grumman Corporation,749
cleaned_rows_by_company,Parsons Corporation,701
cleaned_rows_by_company,RTX Corporation,435
cleaned_rows_by_company,Science Applications International Corporation,471
cleaned_rows_by_company,Teledyne Technologies Incorporated,896
cleaned_rows_by_company,Textron Inc.,281
cleaned_rows_by_company,The Boeing Company,460
cleaned_rows_by_company,TransDigm Group Incorporated,597
cleaned_rows_by_company,"V2X, Inc.",846
cleaned_rows_by_company,VSE Corporation,324
cleaned_rows_by_company,"Viasat, Inc.",409
cleaned_rows_by_company,"Woodward, Inc.",233
cleaned_rows_by_company_layer,prime,16255
cleaned_rows_by_company_layer,supplier,4370
cleaned_rows_by_year,2018,2081
cleaned_rows_by_year,2019,2101
cleaned_rows_by_year,2020,2574
cleaned_rows_by_year,2021,2973
cleaned_rows_by_year,2022,2784
cleaned_rows_by_year,2023,2755
cleaned_rows_by_year,2024,2641
cleaned_rows_by_year,2025,2716
cleaned_rows_by_comparison_window,post_2022_2025,10896
cleaned_rows_by_comparison_window,pre_2018_2021,9729
