metric,group,value
cleaned_rows,all,8400
dropped_intro,all,37
dropped_summary,all,296
merged_broken_pairs,all,764
merged_heading_pairs,all,2099
cleaned_rows_by_company,AeroVironment Inc.,1420
cleaned_rows_by_company,Booz Allen Hamilton Holding Corporation,1203
cleaned_rows_by_company,General Dynamics Corporation,199
cleaned_rows_by_company,Huntington Ingalls Industries Inc.,842
cleaned_rows_by_company,Kratos Defense & Security Solutions Inc.,1482
cleaned_rows_by_company,L3Harris Technologies Inc.,532
cleaned_rows_by_company,Leidos Holdings Inc.,754
cleaned_rows_by_company,Lockheed Martin Corporation,657
cleaned_rows_by_company,Northrop Grumman Corporation,845
cleaned_rows_by_company,RTX Corporation,466
cleaned_rows_by_year,2018,847
cleaned_rows_by_year,2019,895
cleaned_rows_by_year,2020,859
cleaned_rows_by_year,2021,1013
cleaned_rows_by_year,2022,983
cleaned_rows_by_year,2023,993
cleaned_rows_by_year,2024,1028
cleaned_rows_by_year,2025,1082
cleaned_rows_by_year,2026,700
